day;A;Am;K;Km;S;T;replicate
3;3300000;0;50000;0;0;54333,33;1
4;1700000;0;0;0;0;NA;1
5;3900000;0;0;0;147500;22500;1
6;1770000;0;15000;0;0;44800;1
7;1800000;0;143800;0;0;72250;1
8;1536666,67;0;380000;0;0;20230,77;1
9;1300000;0;1090000;0;0;61250;1
10;602500;0;1845000;0;0;65000;1
11;617500;0;2626666,67;0;0;72484,85;1
12;1150000;0;4700000;0;0;41961,21;1
13;672500;0;2430000;0;0;65192,31;1
14;1900000;0;6050000;0;0;57027,78;1
15;1750000;0;7350000;0;0;83250;1
16;1766666,67;0;4466666,67;50000;0;71375;1
17;1100000;0;3700000;0;0;66500;1
18;1166666,67;0;1166666,67;0;0;60500;1
19;550000;0;1650000;0;0;53000;1
20;927500;0;1325000;0;0;65875;1
21;405000;0;1280000;5000;0;53000;1
22;540000;0;1216600;5000;0;83375;1
23;515000;0;1270000;25000;0;102000;1
24;445000;0;1375000;0;0;94800;1
25;125000;30000;630000;5000;0;50000;1
26;NA;NA;NA;NA;NA;89750;1
27;235000;35000;570000;0;5000;56250;1
28;340000;0;905000;0;5000;35250;1
29;266666,67;66666,67;773333,33;0;3333,33;49500;1
30;710000;56666;1422500;0;0;88250;1
31;423333,33;30000;1343333,33;0;0;74250;1
32;666666,67;200000;2027500;2500;0;84500;1
33;533333,33;200000;2000000;0;0;80750;1
34;1150000;450000;3350000;0;0;51250;1
3;1750000;0;100000;0;200000;46857,14;2
4;1600000;0;100000;0;100000;NA;2
5;3050000;0;0;0;100000;41000;2
6;942500;0;5000;0;0;46888,89;2
7;1650000;0;615000;0;0;76923,07;2
8;1550000;0;700000;0;0;36206,9;2
9;1526666,67;0;583333,33;0;0;72857,14;2
10;530000;0;1005000;0;0;53428,57;2
11;605000;0;1606666,67;0;0;101481,48;2
12;700000;0;2050000;0;0;61800;2
13;750000;0;3250000;0;0;96766,67;2
14;900000;0;4300000;50000;0;54055,56;2
15;1550000;0;4550000;150000;0;86250;2
16;1866666,67;0;4600000;966666,67;0;62875;2
17;1900000;0;8200000;3550000;33333,33;28000;2
18;633333,33;0;1366666,67;1366666,67;0;23250;2
19;5275000;0;4875000;6700000;0;15375;2
20;7200000;0;4475000;7275000;0;15125;2
21;6150000;0;3700000;9275000;0;15875;2
22;3750000;0;1500000;4350000;0;24000;2
23;5250000;0;2800000;7400000;0;33125;2
24;5933333,33;0;730000;8766666,67;0;28750;2
25;2850000;100000;1100000;5550000;0;15125;2
26;NA;NA;NA;NA;NA;28500;2
27;1700000;78333,33;966666,67;5233333,33;100000;21000;2
28;1800000;0;1350000;6900000;350000;18750;2
29;2725000;100000;1750000;6125000;400000;28500;2
30;3400000;233333,33;1233333,33;6233333,33;366666,67;24750;2
31;5400000;66666,67;2233333,33;7366666,67;1000000;22500;2
32;4566666,67;0;1233333,33;5100000;1466666,67;28375;2
33;3833333,33;166666,67;1300000;3900000;866666,67;33250;2
34;7550000;0;1500000;11750000;2150000;13500;2
3;4850000;0;100000;0;100000;55000;3
4;2050000;0;0;0;0;NA;3
5;3600000;0;0;0;0;36600;3
6;1077500;0;70000;0;0;59925;3
7;2150000;0;145000;0;0;92000;3
8;546666,67;0;730000;0;0;31333,33;3
9;900000;0;1170000;0;0;50000;3
10;900000;0;2260000;0;0;56333,33;3
11;480000;0;2157500;0;0;91666,67;3
12;1150000;0;3300000;0;0;62222,22;3
13;550000;0;1650000;0;0;81666,65;3
14;1200000;0;3350000;150000;0;55900;3
15;1300000;0;3800000;700000;0;74506;3
16;2566666,67;0;2566666,67;4200000;0;42000;3
17;2133333,33;0;7800000;4166666,67;0;19250;3
18;2000000;0;3800000;3133333,33;0;16500;3
19;3075000;0;6100000;5300000;0;10800;3
20;4200000;0;6125000;6650000;0;16750;3
21;5600000;0;5250000;12300000;0;16375;3
22;3750000;0;2650000;6150000;0;20250;3
23;5450000;0;2000000;6250000;0;22125;3
24;5333333,33;0;1800000;5800000;0;27125;3
25;4000000;50000;2800000;8050000;0;18375;3
26;NA;NA;NA;NA;NA;36000;3
27;1400000;78333,33;2066666,67;7366666,67;100000;31500;3
28;2000000;55000;2050000;7850000;0;23500;3
29;3060000;66666,67;2933333,33;10700000;566666,67;29000;3
30;3933333,33;133333,33;2600000;10133333,33;633333,33;24375;3
31;3200000;633333,33;3200000;11933333,33;666666,67;24500;3
32;3200000;300000;2066666,67;8133333,33;666666,67;33875;3
33;3566666,67;133333,33;1966666,67;6966666,67;933333,33;23500;3
34;4250000;350000;2450000;14500000;1350000;22000;3
